species	common_name	Species_Taxonomy_ID	lineage	div.time	evo.time	assembly_name	NCBIcode	contig_N50_bp	scaffold_N50_bp	Intact	partially_intact	uncertain_loss	lost	missing	complete_single_copy_or_duplicated	perc_complete	fragmented	missing	complete_single_copy_or_duplicated2	%_complete2	fragmented2	missing2	with_human_reference	with_mouse_reference
Alouatta_palliata	mantled howler monkey	30589	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Alouattinae; Alouatta	43	0.112963	HLaloPal1	GCA_004027835.1	51304	72427	14976	2343	514	323	274	6799	0.736939085	1022	1405	8440	0.914805983	375	411	18610	18143
Ammotragus_lervia	aoudad	9899	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ammotragus	94	0.410687	HLammLer1	GCA_002201775.1	52017	1301762	17227	397	422	299	85	8734	0.946672447	166	326	9145	0.991220464	33	48	18641	18798
Anoura_caudifer	tailed tailless bat	27642	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Glossophaginae; Anoura	94	0.407153	HLanoCau1	GCA_004027475.1	143417	185021	15853	842	489	717	529	8074	0.875135487	400	752	8922	0.967049642	110	194	17620	17435
Antechinus_flavipes	yellow-footed antechinus	38775	Mammalia; Theria; Metatheria; Dasyuromorphia; Dasyuridae; Antechinus	160	0.825095	HLantFla1	GCA_016432865.1	51843704	636717922	13063	33	946	1835	2553	8526	0.924127466	105	595	8585	0.930522437	62	579	14291	11763
Antidorcas_marsupialis	springbok	59523	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Antidorcas	94	0.418213	HLantMar1	GCA_006408585.1	42749	694905	13977	2240	1311	492	410	7720	0.836765662	638	868	8375	0.907760676	455	396	18086	17665
Antilocapra_americana	pronghorn	9891	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Antilocapridae; Antilocapra	94	0.409991	HLantAme1	GCA_007570785.1	220431	18739554	17039	379	506	417	89	8881	0.96260568	93	252	9161	0.992954693	32	33	18494	18680
Antrozous_pallidus	pallid bat	9440	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Antrozous	94	0.436638	HLantPal1	GCA_007922775.1	13442	13958	8296	5133	1102	1180	2719	4637	0.502601344	1653	2936	6048	0.655538695	1250	1928	14927	13589
Aonyx_cinereus	Asian small-clawed otter	452597	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Aonyx	94	-	HLaonCin1	DNA Zoo Consortium	68934	130942447	15863	1409	430	405	323	8589	0.930955994	225	412	8895	0.96412313	196	135	18280	17981
Aotus_nancymaae	Ma's night monkey	37293	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Aotidae; Aotus	43	0.110564	aotNan1	GCF_000952055.2	126456	8268663	15772	785	1466	303	104	8817	0.955668762	147	262	9130	0.989594624	54	42	18807	18545
Aplodontia_rufa	mountain beaver	51342	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Aplodontiidae; Aplodontia	89	0.330582	HLaplRuf1	GCA_004027875.1	33245	37811	15288	1868	467	402	405	6741	0.730652504	1001	1484	8833	0.957402992	192	201	18181	18534
Apodemus_sylvaticus	European woodmouse	10129	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Apodemus; Sylvaemus group	89	0.544408	HLapoSyl1	GCA_001305905.1	1208	245982	6732	6932	666	603	3497	7207	0.781161934	706	1313	7737	0.838608281	602	887	14680	16261
Arctocephalus_gazella	antarctic fur seal	37190	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Arctocephalus	94	0.347954	HLarcGaz2	GCA_900642305.1	537425	139181869	7844	193	7633	2689	71	8153	0.883698244	329	744	8824	0.956427488	111	291	16182	16002
Artibeus_jamaicensis	Jamaican fruit-eating bat	9417	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Stenodermatinae; Artibeus	94	0.425354	HLartJam1	GCA_004027435.1	32365	35347	13592	2817	620	716	685	6469	0.701170605	1065	1692	8355	0.90559289	417	454	17491	16828
Artibeus_jamaicensis	Jamaican fruit-eating bat	9417	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Stenodermatinae; Artibeus	94	0.425394	HLartJam2	GCA_014825515.1	374929	2589479	16655	346	688	621	120	8726	0.945805333	148	352	9090	0.985259051	56	80	18186	18212
Arvicanthis_niloticus	African grass rat	61156	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Arvicanthis	89	0.521115	HLarvNil1	GCA_011762505.1	11143170	82689117	17149	118	512	536	115	8889	0.963472794	59	278	9167	0.993605029	13	46	18305	21430
Arvicola_amphibius	Eurasian water mole	1047088	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Arvicola	89	0.519084	HLarvAmp1	GCA_903992535.1	5392280	138658583	16457	82	951	838	102	8869	0.961305008	69	288	9181	0.99512248	12	33	18014	20696
Ateles_geoffroyi	black-handed spider monkey	9509	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles	43	0.108557	HLateGeo1	GCA_004024785.1	59033	73111	14959	2405	486	279	301	6808	0.737914589	1045	1373	8568	0.928679818	308	350	18635	18125
Axis_porcinus	Hog deer	57737	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Axis	94	0.423311	HLaxiPor1	GCA_003798545.1	172761	20764858	17288	332	435	303	72	8837	0.957836549	122	267	9162	0.993063083	30	34	18667	19033
Babyrousa_celebensis	North Sulawesi babirusa	1303000	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Suina; Suidae; Babyrousa	94	-	HLbabCel1	DNA Zoo Consortium	52115	112896847	14388	2545	505	413	579	8064	0.874051593	445	717	8469	0.917949274	374	383	17996	17608
Balaena_mysticetus	bowhead whale	27602	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Balaena	94	0.32782	HLbalMys1	http://alfred.liv.ac.uk/downloads/bowhead_whale/bowhead_whale_scaffolds.zip	33808	876686	14162	2139	707	713	709	8317	0.901474095	311	598	8816	0.955560373	184	226	17531	17326
Balaenoptera_acutorostrata_scammoni	minke whale	310752	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera; Balaenoptera acutorostrata	94	0.326849	balAcu1	GCF_000493695.1	22690	12843668	13360	2302	1173	801	794	8671	0.939843919	190	365	9035	0.979297637	104	87	17386	17219
Balaenoptera_bonaerensis	Antarctic minke whale	33556	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	94	0.32704	HLbalBon1	GCA_000978805.1	8410	20082	11773	3548	813	683	1613	4864	0.527205723	1609	2753	8545	0.926186863	328	353	16616	15630
Balaenoptera_edeni	pygmy Bryde's whale	9769	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	94	0.329774	HLbalEde1	DNA Zoo Consortium	70721	99560599	15608	1105	656	738	323	8579	0.929872101	210	437	8906	0.965315413	156	164	17908	17561
Balaenoptera_musculus	Blue whale	9771	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	94	-	HLbalMus2	GCF_009873245.2	6315640	110314666	16420	115	1043	791	61	8810	0.954910037	104	312	9162	0.993063083	13	51	18148	18136
Balaenoptera_musculus	Blue whale	9771	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	94	0.328056	HLbalMus1	GCA_009873245.1	5963936	110470125	15943	113	1436	892	46	8793	0.953067418	107	326	9162	0.993063083	13	51	18050	18047
Balaenoptera_physalus	Fin whale	9770	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	94	0.327766	HLbalPhy1	GCA_008795845.1	4493	871016	6966	6402	844	714	3504	7277	0.788749187	792	1157	7983	0.865272057	631	612	14644	14214
Bassariscus_astutus	ringtail	55047	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Bassariscus	94	-	HLbasAst1	DNA Zoo Consortium	39652	101529512	14235	2678	466	393	658	8175	0.886082809	424	627	8504	0.9217429	379	343	17925	17495
Bassariscus_sumichrasti	Cacomistle	392507	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Bassariscus	94	0.384322	HLbasSum1	DNA Zoo Consortium	44551	125116104	14947	2168	428	342	545	8376	0.907869066	342	508	8677	0.940494255	328	221	18098	17807
Beatragus_hunteri	-	59527	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Alcelaphinae; Beatragus	94	0.411484	HLbeaHun1	GCA_004027495.1	57444	69303	15933	1349	441	375	332	6988	0.757424669	961	1277	8964	0.971601994	129	133	18275	17920
Bison_bison_bison	American bison	43346	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bison; Bison bison	94	-	HLbisBisBis2	DNA Zoo Consortium	18165	101686351	12396	3275	815	348	1596	8367	0.906893562	294	565	8760	0.94949057	224	242	17044	16851
Bison_bison_bison	American bison	43346	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bison; Bison bison	94	0.403739	bisBis1	GCF_000754665.1	19971	7192658	12414	3248	815	535	1418	8322	0.902016042	312	592	8735	0.946780837	242	249	17020	16977
Bos_frontalis	gayal	30520	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	94	0.407405	HLbosFro1	GCA_007844835.1	28709	1003348	14395	2027	930	402	676	8234	0.89247778	404	588	8810	0.954910037	223	193	17899	17868
Bos_gaurus	gaur	9904	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	94	0.407101	HLbosGau1	GCA_014182915.1	13340585	104471907	15714	94	2198	414	10	8814	0.955343594	112	300	9197	0.996856709	10	19	18627	19082
Bos_grunniens	domestic yak	30521	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	94	0.40971	HLbosGru1	GCA_005887515.2	44716738	114386978	14880	65	2234	980	271	8491	0.920333839	155	580	8955	0.97062649	14	257	17747	18093
Bos_indicus	zebu cattle	9915	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	94	0.406069	HLbosInd2	GCA_002933975.1	64498	104295553	15593	1674	359	361	443	8664	0.939085194	198	364	9028	0.978538912	109	89	18218	18475
Bos_mutus	wild yak	72004	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	94	0.408135	HLbosMut2	GCA_007646595.3	90625	16589160	16340	930	484	376	300	8706	0.943637546	171	349	9084	0.984608715	82	60	18374	18659
Bos_taurus	cattle	9913	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	94	0.406193	bosTau9	GCF_002263795.1	25896116	103308737	17574	54	521	267	14	8841	0.958270106	111	274	9203	0.997507045	8	15	18779	19056
Bubalus_bubalis	water buffalo	89462	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bubalus	94	0.403637	HLbubBub2	GCF_003121395.1	22441509	117219835	16677	48	1379	316	10	8828	0.956861045	114	284	9202	0.997398656	10	14	18708	19152
Callithrix_jacchus	white-tufted-ear marmoset	9483	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix	43	0.121735	HLcalJac4	GCA_011100555.1	13255626	136971485	17648	67	509	188	18	8881	0.96260568	81	264	9185	0.995556037	10	31	19038	18932
Callithrix_pygmaea	pygmy marmoset	9493	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Cebuella	43	0.122628	HLcalPym1	DNA Zoo Consortium	56835	118608034	15621	1774	501	340	194	8405	0.911012356	301	520	8717	0.944829829	254	255	18669	18078
Callorhinus_ursinus	northern fur seal	34884	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Callorhinus	94	0.346091	HLcalUrs1	GCF_003265705.1	133024	31506801	17002	311	569	452	96	8859	0.960221114	93	274	9181	0.99512248	25	20	18462	18473
Camelus_bactrianus	Bactrian camel	9837	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus	94	0.345694	HLcamBac1	GCF_000767855.1	139019	8812066	13498	2012	1706	472	742	8691	0.942011706	211	324	9014	0.977021461	143	69	17778	18093
Camelus_dromedarius	Arabian camel	9838	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus	94	0.348026	HLcamDro2	GCF_000803125.2	236391	70369702	16472	170	1337	429	22	8875	0.961955344	92	259	9199	0.997073488	14	13	18582	18907
Camelus_ferus	Wild Bactrian camel	419612	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus	94	0.343846	HLcamFer3	GCF_009834535.1	5365398	76025729	16296	155	1488	400	91	8837	0.957836549	90	299	9156	0.992412747	23	47	18522	18728
Canis_lupus_dingo	dingo	286419	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus	94	0.364768	HLcanLupDin1	GCF_003254725.1	5390770	34446301	17237	114	722	322	35	8837	0.957836549	105	284	9152	0.991979189	27	47	18682	18865
Canis_lupus_familiaris	dog	9615	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus	94	0.364793	canFam5	GCA_005444595.1	4722218	64204256	16307	96	1553	437	37	8850	0.95924561	100	276	9178	0.994797312	16	32	18543	18562
Canis_lupus_familiaris	dog	9615	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus	94	0.36297	canFam4	GCA_011100685.1	14840767	64299765	17269	70	769	309	13	8880	0.96249729	91	255	9184	0.995447648	16	26	18737	18951
Capra_aegagrus	wild goat	9923	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	94	0.41129	HLcapAeg1	GCA_000765075.1	51868	1750063	17306	299	382	312	131	8787	0.952417082	143	296	9183	0.995339259	18	25	18548	18687
Capra_hircus	goat	9925	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	94	0.411287	HLcapHir2	GCF_001704415.1	26244591	87277232	17449	117	570	281	13	8834	0.957511381	125	267	9186	0.995664427	19	21	18758	19155
Capra_ibex	Alpine ibex	72542	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	94	0.441987	HLcapIbe1	GCA_006410555.1	380983	61905114	9169	158	350	2747	6006	4723	0.511922827	116	4387	4886	0.529590288	45	4295	10042	10090
Capra_sibirica	Siberian ibex	72544	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	94	0.413127	HLcapSib1	GCA_003182615.2	376582	15190720	17601	119	402	285	23	8830	0.957077824	120	276	9196	0.99674832	13	17	18737	19109
Capreolus_pygargus	Eastern roe deer	48560	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Capreolus	94	0.411245	HLcapPyg1	GCA_012922965.1	80310	6067221	16489	845	447	430	219	8768	0.950357685	150	308	9098	0.986126165	62	66	18371	18515
Carlito_syrichta	Philippine tarsier	1868482	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Tarsiiformes; Tarsiidae; Carlito	69	0.244145	tarSyr2	GCF_000164805.1	38165	401181	13735	2593	683	401	1018	8012	0.868415348	462	752	8544	0.926078474	340	342	17693	17675
Carollia_perspicillata	Seba's short-tailed bat	40233	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Carolliinae; Carollia	94	0.421755	HLcarPer3	GCA_004027735.1	10341	10739	9639	5196	738	765	2092	4392	0.476045957	1536	3298	7264	0.787340126	778	1184	15962	14404
Castor_canadensis	American beaver	51338	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Castoridae; Castor	89	0.344758	HLcasCan3	DNA Zoo Consortium	266367	136673807	14502	928	2201	537	262	8350	0.905050943	272	604	8737	0.946997615	203	286	18243	19152
Catagonus_wagneri	Chacoan peccary	51154	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Suina; Tayassuidae; Catagonus	94	0.373484	HLcatWag1	GCA_004024745.2	65965	19204659	16852	582	430	428	138	8885	0.963039237	82	259	9165	0.993388251	25	36	18423	18501
Cavia_aperea	Brazilian guinea pig	37548	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia	89	0.45774	cavApe1	GCA_000688575.1	1039	27928671	4583	7898	1026	680	4243	5810	0.629742033	1239	2177	6192	0.671146759	1377	1657	13820	13484
Cavia_porcellus	domestic guinea pig	10141	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia	89	0.458134	cavPor3	GCF_000151735.1	80583	27942054	14620	1271	1491	650	398	8622	0.934532842	167	437	9020	0.977671797	94	112	17898	18520
Cavia_tschudii	Montane guinea pig	143287	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia	89	0.45812	HLcavTsc1	GCA_004027695.1	64807	91436	16304	756	499	603	268	7806	0.846087145	560	860	8999	0.975395621	87	140	18068	18352
Cebus_albifrons	white-fronted capuchin	9514	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Cebus	43	0.169904	HLcebAlb1	GCA_004027755.1	25652	31156	13108	3777	632	373	540	5440	0.58963798	1383	2403	8080	0.875785823	492	654	18285	17442
Cebus_capucinus_imitator	white-faced sapajou	1737458	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Cebus; Cebus capucinus	43	0.169898	cebCap1	GCF_001604975.1	41196	5274112	16379	1173	495	172	211	8772	0.950791242	155	299	9050	0.980923477	76	100	18871	18962
Cephalophus_harveyi	Harvey's duiker	129224	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Cephalophinae; Cephalophus	94	0.409192	HLcepHar1	GCA_006410635.1	61368	365466	15723	1033	1108	373	193	8026	0.869932799	498	702	8976	0.972902666	135	115	18440	18343
Cephalorhynchus_commersonii	Commerson's dolphin	103582	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Cephalorhynchus	94	-	HLcepCom1	DNA Zoo Consortium	91726	104003720	15691	774	653	1027	285	8671	0.939843919	167	388	9014	0.977021461	96	116	17601	17338
Ceratotherium_simum_cottoni	northern white rhinoceros	310713	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Ceratotherium; Ceratotherium simum	94	0.298571	HLcerSimCot1	GCA_004027795.1	21199	23005	13934	3047	598	336	515	5048	0.547149361	1570	2608	8672	0.939952309	272	282	18176	18083
Ceratotherium_simum_simum	southern white rhinoceros	73337	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Ceratotherium; Ceratotherium simum	94	0.298571	cerSim1	GCF_000283155.1	92960	26277727	16524	889	429	282	306	8896	0.96423152	80	250	9167	0.993605029	37	22	18488	19057
Cercocebus_atys	sooty mangabey	9531	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercocebus	29	0.0681273	cerAty1	GCF_000955945.1	112942	12849131	16886	404	926	188	26	8770	0.950574463	134	322	9140	0.990678517	30	56	19081	19050
Cercopithecus_mona	Mona monkey	36226	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercopithecus	29	0.0679606	HLcerMon1	GCA_014849445.1	22791723	22791723	17568	92	318	199	253	8691	0.942011706	119	416	9034	0.979189248	14	178	18880	18785
Cercopithecus_neglectus	De Brazza's monkey	36227	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercopithecus	29	0.0707533	HLcerNeg1	GCA_004027615.1	9789	10270	12105	4511	537	421	856	4649	0.503902016	1480	3097	7912	0.857576414	564	750	17951	16566
Cervus_elaphus_hippelaphus	red deer	46360	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Cervus; Cervus elaphus	94	0.410155	HLcerEla1	GCA_002197005.1	7944	107358006	8857	5956	1131	783	1703	7282	0.789291134	723	1221	7617	0.825601561	810	799	16435	16236
Cervus_hanglu_yarkandensis	Yarkand deer	84702	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Cervus; Cervus hanglu	94	0.404807	HLcerHanYar1	GCA_010411085.1	268660	77688133	16898	514	426	417	175	8857	0.960004336	104	265	9170	0.993930197	26	30	18444	18725
